mission,designation,shuttle,date,temp,pressure,erosion_incidents,blow-by_incidents,damaged,undamaged
1,STS-1,Columbia,4/12/1981,66,50,0,0,0,6
2,STS-2,Columbia,11/12/1981,70,50,1,0,1,5
3,STS-3,Columbia,3/22/1982,69,50,0,0,0,6
4,STS-4,Columbia,6/27/1982,NA,NA,NA,NA,NA,NA
5,STS-5,Columbia,11/11/1982,68,50,0,0,0,6
6,STS-6,Challenger,4/4/1983,67,50,0,0,0,6
7,STS-7,Challenger,6/18/1983,72,50,0,0,0,6
8,STS-8,Challenger,8/30/1983,73,50,0,0,0,6
9,STS-9,Columbia,11/28/1983,70,100,0,0,0,6
10,STS-41-B,Challenger,2/3/1984,57,100,1,0,1,5
11,STS-41-C,Challenger,4/6/1984,63,200,1,0,1,5
12,STS-41-D,Discovery,8/30/1984,70,200,1,0,1,5
13,STS-41-G,Challenger,10/5/1984,78,200,0,0,0,6
14,STS-51-A,Discovery,11/8/1984,67,200,0,0,0,6
15,STS-51-C,Discovery,1/24/1985,53,200,3,2,5,1
16,STS-51-D,Discovery,4/12/1985,67,200,0,0,0,6
17,STS-51-B,Challenger,4/29/1985,75,200,0,0,0,6
18,STS-51-G,Discovery,6/17/1985,70,200,0,0,0,6
19,STS-51-F,Challenger,7/29/1985,81,200,0,0,0,6
20,STS-51-I,Discovery,8/27/1985,76,200,0,0,0,6
21,STS-51-J,Atlantis,10/3/1985,79,200,0,0,0,6
22,STS-61-A,Challenger,10/30/1985,75,200,0,2,2,5
23,STS-61-B,Atlantis,11/26/1985,76,200,0,0,0,6
24,STS-61-A,Columbia,1/12/1986,58,200,1,0,1,5
